Title,Price,Ratings
"HP Stream 14-inch Laptop, AMD Dual-Core A4-9120E Processor, 4 GB SDRAM, 32 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for One Year (14-ds0020nr, Brilliant Black)",$0,4.2 out of 5 stars
"HP 15-Inch FHD Laptop, 10th Gen Intel Core i5-1035G1, 8 GB RAM, 256 GB Solid-State Drive, Windows 10 Home (15-dy1036nr, Natural Silver)",$579.99,4.4 out of 5 stars
"iProda Laptop, 14.1 Inch Notebook (Intel Celeron 3867U 1.8GHz, 8GB RAM, 256GB SSD, Windows 10 Professional) with 1080P FHD Display, Lightweight, Best for Work at Home",$299.98,2.5 out of 5 stars
"ASUS ZenBook 15 Laptop, 15.6” UHD 4K NanoEdge Display, Intel Core i7-10510U, GeForce GTX 1650, 16GB, 512GB PCIe SSD, ScreenPad 2.0, Amazon Alexa Compatible, Windows 10, Icicle Silver, UX534FTC-AS77","$1,131.66",4.0 out of 5 stars
"Newest HP 14"" HD WLED Backlit High Performance Business Laptop, AMD Athlon Silver 3050U up to 3.2GHz, 4GB DDR4, 128GB SSD, Wireless-AC, HDMI, Bluetooth, Webcam, SD Card Reader, Windows 10 S",$349.00,4.0 out of 5 stars
"HP Stream 11-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (11-ak0010nr, Royal Blue)",$0,4.4 out of 5 stars
"ASUS VivoBook 15 Thin and Light Laptop, 15.6” Full HD, AMD Quad Core R5-3500U CPU, 8GB DDR4 RAM, 256GB PCIe SSD, AMD Radeon Vega 8 Graphics, Windows 10 Home, F512DA-EB51, Slate Gray",$0,4.3 out of 5 stars
"ASUS ZenBook 13 Ultra-Slim Laptop- 13.3” Full HD Wideview, 8th Gen Intel Core I5-8265U, 8GB LPDDR3, 512GB PCIe SSD, Backlit KB, Fingerprint, Windows 10- UX331FA-AS51 Slate Grey",$699.99,4.2 out of 5 stars
"Lenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey",$0,4.3 out of 5 stars
"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb184nr, Rose Pink)",$0,4.4 out of 5 stars
"Acer Aspire 5 A515-55-378V, 15.6"" Full HD Display, 10th Gen Intel Core i3-1005G1 Processor (Up to 3.4GHz), 4GB DDR4, 128GB NVMe SSD, WiFi 6, HD Webcam, Backlit Keyboard, Windows 10 in S Mode",$0,5.0 out of 5 stars
"Apple MacBook Air (13-inch, 8GB RAM, 512GB SSD Storage) - Space Gray (Latest Model)","$1,199.00",4.7 out of 5 stars
"LG Gram Laptop - 17"" IPS WQXGA (2560 x 1600) Intel 10th Gen Core i7 1065G7 CPU, 16GB RAM, 1TB M.2 NVMe SSD (512GB x2), 17 Hour Battery, Thunderbolt 3 - 17Z90N (2020)","$1,670.20",4.5 out of 5 stars
"ASUS ZenBook 15 Laptop, 15.6” UHD 4K NanoEdge Display, Intel Core i7-10510U, GeForce GTX 1650, 16GB, 512GB PCIe SSD, ScreenPad 2.0, Amazon Alexa Compatible, Windows 10, Icicle Silver, UX534FTC-AS77","$1,131.66",4.0 out of 5 stars
"ASUS ZenBook 13 Ultra-Slim Laptop- 13.3” Full HD Wideview, 8th Gen Intel Core I5-8265U, 8GB LPDDR3, 512GB PCIe SSD, Backlit KB, Fingerprint, Windows 10- UX331FA-AS51 Slate Grey",$699.99,4.2 out of 5 stars
"LG Gram Laptop - 17"" IPS WQXGA (2560 x 1600) Intel 10th Gen Core i7 1065G7 CPU, 16GB RAM, 1TB M.2 NVMe SSD (512GB x2), 17 Hour Battery, Thunderbolt 3 - 17Z90N (2020)","$1,670.20",4.5 out of 5 stars
"2019 HP 14, 14"" HD Thin & Light Flagship Laptop Computer, 7th Gen Intel Core i3-7100U 2.40GHz, 4GB DDR4 RAM, 128GB SSD, WiFi, Bluetooth, USB 3.1 Type-C, HDMI, Stereo Speakers, Windows 10",$429.00,4.4 out of 5 stars
iCarly Season 6,$0.99,4.7 out of 5 stars
Lenovo Yoga C940-14 FHD Touch - 10th gen i7-1065G7-12GB - 512GB SSD - Gray,"$1,227.81",3.9 out of 5 stars
"Lenovo Chromebook Duet, 2-in-1, 10.1"" WUXGA (1920 x 1200) Display, MediaTek Helio P60T, 4GB LPDDR4X RAM, 64GB eMCP SSD, Integrated ARM G72 MP3 Graphics, Chrome OS, ZA6F0031US, Ice Blue + Iron Grey",$0,4.1 out of 5 stars
"HP 15.6"" Touchscreen Laptop - 10 Gen Intel i5-1035G1 12GB SDRAM 1.0TB 5400RPM SATA Hard Drive",$638.00,-1
"2019 ASUS 14"" Premium High Performance Laptop Computer| AMD A6-9225 up to 3.0GHz| 4GB DDR4 RAM| 500GB HDD| AMD Radeon R4| WiFi| Bluetooth| USB 3.1 Type-C| HDMI| Silver Gradient| Windows 10 Home|",$385.00,3.6 out of 5 stars
"Dell Latitude 5000 5400 14"" Notebook - 1920 X 1080 - Core i5 i5-8365U - 8GB RAM - 256GB SSD",$949.45,5.0 out of 5 stars
"LG Gram Laptop - 17"" IPS WQXGA (2560 x 1600) Intel 10th Gen Core i7 1065G7 CPU, 16GB RAM, 1TB M.2 NVMe SSD (512GB x2), 17 Hour Battery, Thunderbolt 3 - 17Z90N (2020)","$1,670.20",4.5 out of 5 stars
"iProda Laptop, 14.1 Inch Notebook (Intel Celeron 3867U 1.8GHz, 8GB RAM, 256GB SSD, Windows 10 Professional) with 1080P FHD Display, Lightweight, Best for Work at Home",$299.98,2.5 out of 5 stars
"2019 Newest Lenovo Thin and Light Laptop PC 14W: 14"" FHD Anti-Glare Display, AMD Dual Core A6-9220C, 4GB RAM, 64GB eMMC, WiFi, Bluetooth, HD Webcam, HDMI, USB-C, Windows 10 Pro Education",$369.00,4.1 out of 5 stars
"HP 14"" Laptop - 10th Gen Intel Core i3-1005G1 Processor 1.2GHz 4GB DDR4 2666 SDRAM 128GB SSD 14-dq1033cl",$449.00,4.1 out of 5 stars
HOW TO DELETE BOOK FROM KINDLE LIBRARY 2020: The Complete Step By Step Guide On How To Permanently Delete Books From Kindle Library On Any Device,$0.00,-1
"2020 Newest HP x360 2-in-1 14-inch FHD Touchscreen Chromebook – 10th Gen. Intel Core i3-10110U, 8GB RAM, 64GB eMMC, B&O Audio, WiFi 6, Backlit Keyboard, Fingerprint Reader - Mineral Silver",$527.00,5.0 out of 5 stars
"2020 HP Laptop, 17.3"" HD+ Screen, 10th Gen Intel Core i5-1035G1 Quad-Core Processor up to 3.60GHz, 8GB DDR4 RAM, 256GB PCIe NVMe M.2 SSD, DVD-RW, HDMI, Wireless-AC, Bluetooth, Windows 10 Home, Black",$0,3.8 out of 5 stars
"2019 Lenovo ideapad S340 15.6"" HD Premium Home & Business Laptop, Intel Quad Core i5-8265U Upto 3.9GHz, 8GB RAM, 128GB SSD, USB-C, WiFi, HDMI, Webcam, Windows 10, Dark Orchid",$579.00,4.5 out of 5 stars
"CHUWI Herobook Pro 14.1 inch Windows 10 Intel N4000 Dual Core 8GB RAM 256GB ROM Notebook,Thin and Lightweight Laptop,BT4.0 (Herobook Pro(2020))",$299.00,4.0 out of 5 stars
"ASUS ZenBook Duo UX481 Laptop, 14” FHD NanoEdge Bezel Touch, Intel Core i7-10510U, GeForce MX250, 16GB RAM, 1TB PCIe SSD, Innovative ScreenPad Plus, Windows 10 Pro, Celestial Blue, UX481FL-XS74T",$0,4.1 out of 5 stars
"ASUS ZenBook 13 Ultra Slim Laptop, 13.3” FHD WideView, 8th-Gen Intel Core i7-8565U CPU, 16GB RAM, 512GB PCIe SSD, Backlit KB, NumberPad, Military Grade, TPM, Windows 10 Pro, UX333FA-AB77, Royal Blue",$975.32,4.1 out of 5 stars
"Latest_ASUS Laptop E14, 14"" HD, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC + 32GB USB Flash Drive Storage, Webcam, Bluetooth, Windows 10, Slate Gray",$388.75,-1
"LG Gram Laptop - 15.6"" Full HD IPS, Intel 10th Gen Core i5 (10210U CPU), 8GB DDR4 2666MHz RAM, 512GB NVMeTM SSD, Up to 21 Hours Battery, Intel UHD Graphics - 15Z995-U.ARS6U1 (2020)","$1,209.99",3.9 out of 5 stars
"LG Ultra PC High Performance Laptop - 17"" IPS WQXGA (2560 x 1600) Display and Intel 10th Generation Intel Core i7-10510U CPU, NVIDIA GTX1650 GDDR5 4GB, 16GB DDR4 2666 MHz RAM - 512GB NVMe SSD","$1,698.56",-1
"Lenovo IdeaPad S150 (81VS0001US) Laptop, 14"" HD Display, AMD A6-9220e Upto 2.4GHz, 4GB RAM, 64GB eMMC, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home, Silver",$299.00,3.6 out of 5 stars
"Lenovo Chromebook C340 2-in-1 Laptop, 15.6"" FHD (1920 X 1080) Touchscreen Display, Intel Pentium Gold 4417U Processor, 4GB DDR4 RAM, 32GB SSD, Chrome OS, 81T90003US, Mineral Grey",$0,4.3 out of 5 stars
"Lenovo Chromebook C340 Laptop, 11.6"" HD (1366 X 768) Touchscreen Display, Intel Celeron N4000 Processor, 4GB LPDDR4 RAM, 64GB SSD, Intel UHD Graphics 600, Chrome OS, 81TA0007US, Sand Pink",$0,4.6 out of 5 stars
"ASUS TUF Gaming Laptop, 15.6” Full HD IPS-Type, Intel Core i5-9300H, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505GT-US52",$749.00,4.1 out of 5 stars
"Apple MacBook Air MJVM2LL/A 11.6 Inch Laptop (Intel Core i5 Dual-Core 1.6GHz up to 2.7GHz, 4GB RAM, 128GB SSD, Wi-Fi, Bluetooth 4.0, Integrated Intel HD Graphics 6000, Mac OS) (Renewed)",$515.00,4.2 out of 5 stars
"2020 Lenovo 2-in-1 11.6"" Convertible Chromebook Touchscreen Laptop Computer/ Quad-Core MediaTek MT8173C (4C/ 2X A72 + 2X A53)/ 4GB Memory/ 32GB eMMC/ 802.11ac WiFi/ Bluetooth/ Type-C/ White/ Chrome OS",$0,4.5 out of 5 stars
"Apple iPad Air 2, 64 GB, Gold, (Renewed)",$299.99,4.3 out of 5 stars
"MOTILE 2020 14” FHD Performance Laptop Computer, 2-Core AMD Ryzen 3-3200U 2.6GHz, 8GB RAM, 128GB SSD, No DVD, Wi-Fi, Bluetooth,720p IR Webcam, HDMI, Windows 10, 500GB USB 3.0 External HDD",$449.99,4.6 out of 5 stars
"iProda Laptop, 14.1 Inch Notebook (Intel Celeron 3867U 1.8GHz, 8GB RAM, 256GB SSD, Windows 10 Professional) with 1080P FHD Display, Lightweight, Best for Work at Home",$299.98,2.5 out of 5 stars
"XIDU 2020 Newest 12.5"" Tour Pro Touchcreen Laptop with Backlit Keyboard Ultrabook | 2.5K(2560X1440) IPS | Fingerprint | Intel 8th 3867U Processor | 8GB DDR3+128GB eMMC | Win10 Home for On-The-Go",$399.99,4.1 out of 5 stars
iCarly Season 6,$0.99,4.7 out of 5 stars
"Microsoft Surface Laptop 3 – 13.5"" Touch-Screen – Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model) – Platinum with Alcantara",$0,4.4 out of 5 stars
"Jumper Laptop 13.3 inch 8GB RAM 128GB ROM Quad Core Celeron, Windows 10 Thin and Light Laptop, Full HD 1080P Display, Support 128GB TF Cardand 1TB SSD Expansion",$299.99,4.4 out of 5 stars
Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),$694.98,4.3 out of 5 stars
"Samsung Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US",$0,4.4 out of 5 stars
"2020 Newest HP ENVY x360 2-in-1 Laptop, 15.6"" Full HD Touchscreen, AMD Ryzen 5 4500U Processor up to 4.0GHz, 8GB Memory, 256GB PCIe SSD, Backlit Keyboard, HDMI, Wi-Fi, Windows 10 Home, Nightfall Black",$699.00,4.2 out of 5 stars
"2020 HP 15.6"" HD Touchscreen Premium Home & Business Laptop, 10th Gen Intel Quad-Core i5-1035G1 Upto 3.6GHz, 8GB RAM, 512GB SSD, WiFi, HDMI, Bluetooth, Card Reader, Windows 10",$0,4.5 out of 5 stars
"Apple MacBook Air (13-inch, 8GB RAM, 512GB SSD Storage) - Space Gray (Latest Model)","$1,199.00",4.7 out of 5 stars
"LG Gram Laptop - 17"" IPS WQXGA (2560 x 1600) Intel 10th Gen Core i7 1065G7 CPU, 16GB RAM, 1TB M.2 NVMe SSD (512GB x2), 17 Hour Battery, Thunderbolt 3 - 17Z90N (2020)","$1,670.20",4.5 out of 5 stars
"Latest_ASUS Laptop E14, 14"" HD, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC + 32GB USB Flash Drive Storage, Webcam, Bluetooth, Windows 10, Slate Gray",$388.75,-1
"LG Gram Laptop - 15.6"" Full HD IPS, Intel 10th Gen Core i5 (10210U CPU), 8GB DDR4 2666MHz RAM, 512GB NVMeTM SSD, Up to 21 Hours Battery, Intel UHD Graphics - 15Z995-U.ARS6U1 (2020)","$1,209.99",3.9 out of 5 stars
"LG Ultra PC High Performance Laptop - 17"" IPS WQXGA (2560 x 1600) Display and Intel 10th Generation Intel Core i7-10510U CPU, NVIDIA GTX1650 GDDR5 4GB, 16GB DDR4 2666 MHz RAM - 512GB NVMe SSD","$1,698.56",-1
"2020 Newest HP ENVY x360 2-in-1 Laptop, 15.6"" Full HD Touchscreen, AMD Ryzen 5 4500U Processor up to 4.0GHz, 8GB Memory, 256GB PCIe SSD, Backlit Keyboard, HDMI, Wi-Fi, Windows 10 Home, Nightfall Black",$699.00,4.2 out of 5 stars
"11.6"" Windows 10 Tablet, EZpad Go pc Tablet with Keyboard Full HD Touch Screen 2 in 1 Laptop 4GB RAM 128GB ROM with Stylus Pen",$349.00,4.0 out of 5 stars
The Laptop Millionaire: How Anyone Can Escape the 9 to 5 and Make Money Online,$11.99,4.4 out of 5 stars
"MSI GF63 Thin 9SCX-005 15. 6"" FHD Gaming Laptop Intel Core i5-9300H GTX1650 8GB 256GB NVMe SSD Win10",$699.00,4.3 out of 5 stars
"2019 Newest Lenovo IdeaPad 15.6"" HD High Performance Laptop PC |7th Gen AMD A9-9425 Dual-Core 3.10 GHz| 4GB RAM | 128GB SSD | 802.11ac | Bluetooth | DVD+/-RW | HDMI | Win 10",$510.00,4.0 out of 5 stars
"HP 14 (14-dk0002dx) Laptop, 14"" HD Display, AMD A9-9425 Upto 3.7GHz, 4GB RAM, 128GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home S",$377.88,4.1 out of 5 stars
"Acer Spin 1 11.6"" Touchscreen 2-in-1 Laptop,Dual Core,4GB,64GB SSD,Office 365,Win 10",$399.00,3.9 out of 5 stars
"HP 15-Inch HD Touchscreen Laptop, 10th Gen Intel Core i5-1035G1, 8 GB SDRAM, 512 GB Solid-State Drive, Windows 10 Home (15-dy1020nr, Natural Silver), 15-15.99 inches",$675.00,4.3 out of 5 stars
"iProda Laptop, 14.1 Inch Notebook (Intel Celeron 3867U 1.8GHz, 8GB RAM, 256GB SSD, Windows 10 Professional) with 1080P FHD Display, Lightweight, Best for Work at Home",$299.98,2.5 out of 5 stars
"Latest_ASUS Laptop E14, 14"" HD, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC + 32GB USB Flash Drive Storage, Webcam, Bluetooth, Windows 10, Slate Gray",$388.75,-1
"2020 Newest Lenovo IdeaPad 15.6"" HD High Performance Laptop PC |7th Gen AMD A9-9425 Dual-Core 3.10 GHz| 8GB RAM | 256GB SSD | AMD Radeon R5 | 802.11ac | Bluetooth | DVD+/-RW | HDMI | Win 10 | Purple",$529.99,4.1 out of 5 stars
"2019 HP 17.3"" HD+ Flagship Home & Business Laptop, Intel Quad Core i5-8265U Processor Upto 3.9GHz, 16GB RAM, 512GB SSD, DVD-RW, WiFi, HDMI, GbE LAN, Bluetooth, Windows 10, Black",$790.00,4.2 out of 5 stars
"HP Chromebook X360 14-Inch HD Touchscreen Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14b-ca0010nr, Ceramic White/Mineral Silver)",$0,4.5 out of 5 stars
"2020 HP 15.6"" Touchscreen Laptop Computer/ 10th Gen Intel Quard-Core i5 1035G1 up to 3.6GHz/ 12GB DDR4 RAM/ 256GB PCIe SSD/ 802.11ac WiFi/ Bluetooth 4.2/ USB 3.1 Type-C/ HDMI/ Silver/ Windows 10 Home",$0,-1
"Microsoft Surface Pro 3 (256 GB, Intel Core i7) (Renewed)",$0,3.8 out of 5 stars
"ASUS ZenBook 14 Ultra-Slim Laptop 14” Full HD NanoEdge Bezel Display, Intel Core i5-1035G1, 8GB RAM, 512GB PCIe SSD, NumberPad, Thunderbolt 3, Windows 10 Home, Pine Grey, UX425JA-EB51",$799.99,5.0 out of 5 stars
"HP Chromebook 14-inch Laptop with 180-Degree Swivel, AMD Dual-Core A4-9120 Processor, 4 GB SDRAM, 32 GB eMMC Storage, Chrome OS (14-db0020nr, Chalkboard Gray)",$0,4.3 out of 5 stars
"2020 Dell Inspiron 3000 15.6-inch HD Touchscreen Laptop PC, Intel 10th Gen Dual Core i3-1005G1 Processor, 8GB DDR4, 128GB SSD, 1TB HDD, Bluetooth, Windows 10, Black",$539.99,4.5 out of 5 stars
"LG Gram Laptop - 17"" IPS WQXGA (2560 x 1600) Intel 10th Gen Core i7 1065G7 CPU, 16GB RAM, 1TB M.2 NVMe SSD (512GB x2), 17 Hour Battery, Thunderbolt 3 - 17Z90N (2020)","$1,670.20",4.5 out of 5 stars
"XIDU 2020 Newest 12.5"" Tour Pro Touchcreen Laptop with Backlit Keyboard Ultrabook | 2.5K(2560X1440) IPS | Fingerprint | Intel 8th 3867U Processor | 8GB DDR3+128GB eMMC | Win10 Home for On-The-Go",$399.99,4.1 out of 5 stars
"Latest_ASUS Laptop E14, 14"" HD, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC + 32GB USB Flash Drive Storage, Webcam, Bluetooth, Windows 10, Slate Gray",$388.75,-1
"ASUS ZenBook 13 Ultra-Slim Laptop- 13.3” Full HD Wideview, 8th Gen Intel Core I5-8265U, 8GB LPDDR3, 512GB PCIe SSD, Backlit KB, Fingerprint, Windows 10- UX331FA-AS51 Slate Grey",$699.99,4.2 out of 5 stars
"2020 HP Pavilion 15.6 Inch FHD 1080P Touchscreen Laptop (Intel Core i7-1065G7 up to 3.9GHz, 16GB DDR4 RAM, 1TB SSD, Intel Iris Plus, Backlit KB, HDMI, WiFi, Bluetooth, Win10)",$986.52,4.0 out of 5 stars
HP (17-BY1053DX) 17.3 Laptop - Core i5-8265U - 8GB Memory - 256GB Solid State Drive - Windows 10 Home in S Mode - Jet Black/Maglia Pattern,$625.00,4.4 out of 5 stars
"2019 HP 17.3"" HD+ Flagship Home & Business Laptop, Intel Quad Core i5-8265U Processor Upto 3.9GHz, 8GB RAM, 256GB SSD, DVD-RW, WiFi, HDMI, GbE LAN, Bluetooth, Windows 10, Black",$636.00,4.6 out of 5 stars
"2020 Newest Dell Inspiron 15 3000 PC Laptop: 15.6"" HD Anti-Glare LED-Backlit Nontouch Display, Intel 2-Core 4205U Processor, 8GB RAM, 1TB HDD, WiFi, Bluetooth, HDMI, Webcam,DVD-RW, Win 10",$0,4.2 out of 5 stars
LG Gram 17'' Ultra-Lightweight Laptop with 10th Gen Intel Core Processor w/Intel Iris Plus,"$1,437.99",5.0 out of 5 stars
"2020_Lenovo IdeaPad 3 15.6"" HD Laptop PC, Intel 10th Gen Core i3-1005G1 CPU, 8GB DDR4 RAM, 256GB SSD, Camera, WiFi, Bluetooth (10th Gen Core i3-1005G1 CPU)",$472.00,4.4 out of 5 stars
"2020 HP Envy x360 2-in-1 Touchscreen Laptop: Ryzen 5 4500U 6-Core up to 4.00 GHz, 512GB SSD, 15.6"" IPS Full HD, 8GB RAM, Backlit Keyboard, Windows 10",$735.00,3.0 out of 5 stars
"Lenovo IdeaPad 5 Laptop: 10th Gen Core i5-1035G1, 16GB RAM, 512GB SSD, 15.6"" Full HD IPS Touchscreen",$724.00,4.5 out of 5 stars
"iProda Laptop, 14.1 Inch Notebook (Intel Celeron 3867U 1.8GHz, 8GB RAM, 256GB SSD, Windows 10 Professional) with 1080P FHD Display, Lightweight, Best for Work at Home",$299.98,2.5 out of 5 stars
"XIDU 2020 Newest 12.5"" Tour Pro Touchcreen Laptop with Backlit Keyboard Ultrabook | 2.5K(2560X1440) IPS | Fingerprint | Intel 8th 3867U Processor | 8GB DDR3+128GB eMMC | Win10 Home for On-The-Go",$399.99,4.1 out of 5 stars
"14.1"" Full HD Windows Laptop PC (Windows 10, 4GB RAM, Dual Band 5GHz WiFi (2X WiFi Speeds), T90B Pro Model, Lapbook, Intel Quad-Core, USB 3.0, Bluetooth, Laptop Compute (64GB)",$229.95,3.7 out of 5 stars
"ASUS ImagineBook 14"" FHD LED-Backlit Laptop, Intel Core M3-8100Y Up to 3.4GHz, 4GB RAM, 128GB SSD, Webcam, 802.11 ac, Bluetooth, USB 3.1 Type C, HDMI, Windows 10 Home in S Mode, Textured White",$368.90,4.4 out of 5 stars
Harry Potter and the Sorcerer's Stone,$3.99,4.8 out of 5 stars
"ASUS VivoBook F512DA Laptop, 15.6"" FHD Display, AMD Ryzen 3 3200U Upto 3.5GHz, 12GB RAM, 1TB NVMe SSD, Vega 3, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",$0,4.4 out of 5 stars
"2020 Lenovo 2-in-1 11.6"" Convertible Chromebook Touchscreen Laptop Computer/ Quad-Core MediaTek MT8173C (4C/ 2X A72 + 2X A53)/ 4GB Memory/ 32GB eMMC/ 802.11ac WiFi/ Bluetooth/ Type-C/ White/ Chrome OS",$0,4.5 out of 5 stars
"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode (14-cb159nr, Jet Black)",$0,4.3 out of 5 stars
"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + IST Computers HDMI Cable",$896.49,4.5 out of 5 stars
"HP - Envy x360 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 512GB SSD + 32GB Optane - Natural Silver",$905.00,4.4 out of 5 stars
"LG Gram Laptop - 17"" IPS WQXGA (2560 x 1600) Intel 10th Gen Core i7 1065G7 CPU, 16GB RAM, 1TB M.2 NVMe SSD (512GB x2), 17 Hour Battery, Thunderbolt 3 - 17Z90N (2020)","$1,670.20",4.5 out of 5 stars
"LG Gram Laptop - 15.6"" Full HD IPS, Intel 10th Gen Core i5 (10210U CPU), 8GB DDR4 2666MHz RAM, 512GB NVMeTM SSD, Up to 21 Hours Battery, Intel UHD Graphics - 15Z995-U.ARS6U1 (2020)","$1,209.99",3.9 out of 5 stars
"LG Ultra PC High Performance Laptop - 17"" IPS WQXGA (2560 x 1600) Display and Intel 10th Generation Intel Core i7-10510U CPU, NVIDIA GTX1650 GDDR5 4GB, 16GB DDR4 2666 MHz RAM - 512GB NVMe SSD","$1,698.56",-1
"LG Gram Laptop - 15.6"" Full HD IPS, Intel 10th Gen Core i5 (10210U CPU), 8GB DDR4 2666MHz RAM, 512GB NVMeTM SSD, Up to 21 Hours Battery, Intel UHD Graphics - 15Z995-U.ARS6U1 (2020)","$1,209.99",3.9 out of 5 stars
"New HP Pavilion 2-in-1 15.6"" HD Touchscreen Laptop Intel i5-8265U 8GB RAM 512GB SSD Bluetooth Windows 10",$745.00,4.4 out of 5 stars
"Lenovo Legion 5 15.6"" Gaming Laptop 120Hz AMD Ryzen 7-4800H 8GB RAM 512GB SSD GTX 1650 4GB - AMD Ryzen 7-4800H Octa-core - 120Hz Refresh Rate - NVIDIA GeForce GTX 1650 4GB GDDR6 - Legion Ultimate",$999.98,5.0 out of 5 stars
"Newest HP 14"" HD Premium Business Laptop PC | 10th Gen Intel Quad-Core i5-1035G1 up to 3.6GHz | 8GB RAM | 256GB SSD | WiFi | HDMI | Card Reader | Bluetooth | Windows 10 | Silver",$599.00,4.0 out of 5 stars
"HP Pavilion Laptop, 15.6"" Full HD IPS Touchscreen, 10th Gen Intel Core i5-1035G1 Processor up to 3.60GHz, 12GB RAM, 512GB PCIe NVMe SSD, Backlit Keyboard, HDMI, Wireless-AC, Bluetooth, Windows 10 Home",$799.00,4.2 out of 5 stars
"2019 Dell Inspiron 15 6"" HD Touchscreen Flagship Premium Laptop Computer, 8th Gen Intel Core i3-8145U Up to 3.1GHz, 8GB DDR4 RAM, 128GB SSD, HDMI, USB 3.0, Bluetooth, WiFi, Windows 10 Home",$0,4.2 out of 5 stars
